date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
06-29,80,46,63,-7.8,51,44,54,2,0,0503,2021,"",0.00,0.0,0,29.15,30.08,3.9,16,250,12,300
06-30,82,51,66,-5.0,47,46,56,0,1,0504,2020,"",T,0.0,0,29.08,30.00,4.2,21,260,16,220
07-01,74,52,63,-8.1,65,52,57,2,0,0504,2020,"RA,FG,BR",0.30,0.0,0,29.03,29.98,8.3,26,320,20,310
07-02,79,49,64,-7.2,56,47,55,1,0,0505,2020,"",0.00,0.0,0,29.20,30.14,4.0,17,310,13,290
07-03,80,50,65,-6.3,51,48,57,0,0,0505,2020,"",0.00,0.0,0,29.16,30.09,4.2,17,150,14,170
07-04,83,51,67,-4.4,59,55,61,0,2,0506,2020,"",0.00,0.0,0,29.01,29.91,6.3,25,150,16,160
07-05,86,65,76,4.5,64,62,67,0,11,0507,2019,"BR,HZ",0.00,0.0,0,28.95,29.87,7.8,24,290,20,260
07-06,88,67,78,6.5,63,62,67,0,13,0507,2019,"",0.00,0.0,0,28.91,29.82,8.3,24,250,18,270
07-07,89,64,76,4.4,71,63,67,0,11,0508,2019,"TS,RA,BR",0.42,0.0,0,28.92,29.82,4.6,32,270,26,300
07-08,90,66,78,6.4,69,64,68,0,13,0509,2018,"TS,RA,FG,BR,HZ",0.73,0.0,0,28.87,29.78,8.6,63,270,48,280
07-09,80,62,71,-0.7,65,57,62,0,6,0509,2018,"",0.00,0.0,0,28.97,29.92,8.5,23,300,18,300
07-10,83,56,70,-1.7,61,56,62,0,5,0510,2017,"",0.00,0.0,0,29.11,30.04,2.3,16,270,12,300
07-11,86,63,74,2.3,62,62,67,0,9,0511,2017,"RA",T,0.0,0,29.10,30.00,6.1,19,150,15,200
07-12,92,68,80,8.3,66,65,69,0,15,0512,2016,"TS,RA,BR",0.27,0.0,0,28.97,29.88,12.3,48,300,36,300
07-13,87,69,78,6.3,76,68,71,0,13,0512,2015,"TS,RA,BR",0.15,0.0,0,28.97,29.86,9.1,29,210,22,240
07-14,85,69,77,5.3,59,60,66,0,12,0513,2015,"",0.00,0.0,0,28.88,29.80,14.1,35,260,28,240
07-15,77,62,70,-1.7,72,59,62,0,5,0514,2014,"RA",T,0.0,0,29.00,29.95,8.6,21,290,16,290
07-16,77,56,66,-5.7,63,52,58,0,1,0515,2013,"",0.00,0.0,0,29.18,30.11,4.4,14,270,10,290
07-17,87,53,70,-1.7,63,58,63,0,5,0516,2013,"",0.00,0.0,0,29.12,30.04,12.4,36,180,30,190
07-18,86,66,76,4.3,58,60,67,0,11,0517,2012,"",T,0.0,0,29.15,30.09,9.7,34,220,24,230
07-19,84,62,73,1.4,58,57,64,0,8,0518,2011,"",T,0.0,0,29.28,30.21,5.6,19,010,14,010
07-20,91,62,76,4.4,54,59,66,0,11,0519,2010,"",0.00,0.0,0,29.26,30.19,5.4,17,170,12,180
07-21,89,68,78,6.4,74,67,71,0,13,0519,2009,"TS,RA,BR",0.41,0.0,0,29.15,30.03,10.0,40,320,30,300
07-22,91,73,82,10.5,65,68,73,0,17,0520,2009,"",0.00,0.0,0,29.03,29.96,9.6,23,270,18,240
07-23,94,66,80,8.5,61,64,70,0,15,0521,2008,"BR",0.00,0.0,0,29.05,29.97,3.5,15,140,12,140
07-24,87,70,78,6.5,79,70,73,0,13,0522,2007,"TS,RA,BR",0.88,0.0,0,29.00,29.91,9.4,32,220,25,220
07-25,87,67,77,5.6,62,65,70,0,12,0523,2006,"",0.00,0.0,0,29.00,29.93,8.9,22,270,17,270
07-26,87,61,74,2.6,64,62,67,0,9,0524,2005,"",0.00,0.0,0,29.10,30.02,3.4,23,310,12,280
07-27,89,64,76,4.7,66,62,67,0,11,0525,2004,"",0.00,0.0,0,29.07,29.98,4.9,32,360,24,360
07-28,86,63,74,2.7,73,63,67,0,9,0526,2003,"TS,RA",0.04,0.0,0,29.01,29.92,5.5,29,350,21,350
07-29,79,64,72,0.8,69,60,64,0,7,0527,2001,"RA",T,0.0,0,29.05,29.97,8.1,27,350,20,030
07-30,71,63,67,-4.2,84,62,64,0,2,0528,2000,"TS,RA,BR",0.15,0.0,0,29.06,30.00,7.4,18,040,14,050
07-31,79,64,72,0.9,79,63,65,0,7,0529,1959,"BR",0.00,0.0,0,29.10,30.03,4.9,15,320,12,020
08-01,84,59,72,0.9,66,59,64,0,7,0530,1958,"BR",0.00,0.0,0,29.15,30.09,2.7,15,010,9,030
08-02,87,62,74,3.0,72,64,68,0,9,0532,1957,"BR",0.00,0.0,0,29.16,30.09,2.9,12,050,10,070
08-03,92,64,78,7.0,60,63,68,0,13,0533,1956,"",0.00,0.0,0,29.14,30.05,2.7,14,170,12,170
08-04,93,67,80,9.1,50,59,67,0,15,0534,1954,"",0.00,0.0,0,29.07,29.97,5.7,20,230,14,180
08-05,90,66,78,7.1,62,64,69,0,13,0535,1953,"",0.00,0.0,0,28.93,29.84,10.1,25,300,18,310
08-06,85,60,72,1.2,61,57,63,0,7,0536,1952,"",0.00,0.0,0,29.00,29.93,5.3,19,270,13,290
08-07,83,59,71,0.3,59,55,61,0,6,0537,1950,"",0.00,0.0,0,29.11,30.05,5.0,17,310,14,010
08-08,85,54,70,-0.7,57,53,60,0,5,0538,1949,"",0.00,0.0,0,29.15,30.08,4.5,23,070,13,050
08-09,90,57,74,3.4,59,59,65,0,9,0539,1948,"",0.00,0.0,0,29.10,30.02,3.7,21,250,15,220
08-10,93,63,78,7.5,58,62,68,0,13,0540,1946,"",0.00,0.0,0,29.15,30.06,2.7,17,280,14,280
08-11,94,69,82,11.5,66,69,73,0,17,0541,1945,"RA",T,0.0,0,29.06,29.95,8.5,24,250,21,250
08-12,91,74,82,11.6,82,72,74,0,17,0542,1943,"TS,RA,BR",1.08,0.0,0,28.92,29.84,6.1,30,280,21,280
08-13,86,70,78,7.7,80,70,73,0,13,0543,1942,"TS,RA,BR",0.88,0.0,0,28.87,29.79,10.4,27,250,22,260
08-14,83,66,74,3.8,75,65,68,0,9,0544,1941,"FG,BR",0.00,0.0,0,29.08,30.02,3.6,14,250,10,260
08-15,82,63,72,1.9,78,65,68,0,7,0545,1939,"RA,BR",1.34,0.0,0,29.18,30.11,3.8,18,140,15,150
08-16,83,69,76,6.0,77,66,69,0,11,0547,1938,"RA,BR",1.76,0.0,0,29.05,29.97,9.2,23,190,18,210
08-17,84,66,75,5.1,78,65,68,0,10,0548,1936,"TS,RA,BR",0.20,0.0,0,29.13,30.05,7.1,31,330,25,320
08-18,84,62,73,3.2,71,64,67,0,8,0549,1934,"BR",0.00,0.0,0,29.13,30.04,4.6,15,220,12,200
08-19,82,68,75,5.3,75,66,69,0,10,0550,1933,"BR",0.00,0.0,0,29.00,29.90,8.0,21,250,17,240
08-20,82,67,74,4.4,80,67,69,0,9,0551,1931,"RA,BR",0.58,0.0,0,28.80,29.70,10.1,28,200,22,270
08-21,73,59,66,-3.4,75,57,61,0,1,0552,1930,"",0.09,0.0,0,28.87,29.84,10.2,31,310,23,290
08-22,78,53,66,-3.3,65,53,58,0,1,0553,1928,"",0.00,0.0,0,29.21,30.16,4.4,18,250,13,240
08-23,80,57,68,-1.1,64,56,62,0,3,0554,1927,"",0.00,0.0,0,29.29,30.22,7.0,21,200,17,220
08-24,82,63,72,3.1,77,65,68,0,7,0555,1925,"BR",T,0.0,0,29.11,30.02,10.0,26,180,21,190
08-25,83,63,73,4.2,78,67,69,0,8,0556,1923,"TS,RA,BR",0.10,0.0,0,29.05,29.98,9.1,21,250,16,270
08-26,82,61,72,3.4,70,60,64,0,7,0557,1922,"",0.00,0.0,0,29.18,30.13,4.1,20,270,14,260
08-27,78,62,70,1.6,85,65,66,0,5,0558,1920,"TS,RA,BR",0.38,0.0,0,29.18,30.11,6.4,28,310,22,320
08-28,84,67,76,7.9,77,67,70,0,11,0559,1918,"BR",0.00,0.0,0,29.23,30.17,4.9,21,280,13,290
08-29,85,61,73,5.1,74,64,67,0,8,0601,1917,"BR,HZ",0.00,0.0,0,29.31,30.24,2.6,14,100,10,110
08-30,83,69,76,8.3,77,66,68,0,11,0602,1915,"TS,RA,BR",0.05,0.0,0,29.20,30.11,5.5,18,260,15,270
08-31,77,61,69,1.6,72,61,65,0,4,0603,1913,"TS,RA,BR,HZ",0.17,0.0,0,29.10,30.02,6.9,19,020,14,050
09-01,73,56,64,-3.2,71,54,58,1,0,0604,1911,"",0.00,0.0,0,29.20,30.15,8.0,23,010,17,010
09-02,74,51,62,-4.9,70,52,57,3,0,0605,1910,"",0.00,0.0,0,29.32,30.26,6.3,19,040,15,060
09-03,77,49,63,-3.6,72,53,57,2,0,0606,1908,"",0.00,0.0,0,29.30,30.24,2.5,13,100,9,140
09-04,79,50,64,-2.3,68,55,59,1,0,0607,1906,"FG,BR",0.00,0.0,0,29.29,30.23,4.2,16,130,13,210
09-05,85,60,72,6.0,65,61,66,0,7,0608,1905,"",0.00,0.0,0,29.23,30.15,7.7,23,180,18,190
09-06,90,73,82,16.3,70,70,73,0,17,0609,1903,"",0.00,0.0,0,29.15,30.05,10.6,23,240,20,210
09-07,86,70,78,12.7,82,71,73,0,13,0610,1901,"TS,RA,BR",0.23,0.0,0,29.07,29.97,5.4,21,300,16,310
09-08,80,67,74,9.0,85,69,71,0,9,0611,1859,"RA,BR",0.27,0.0,0,28.92,29.85,9.7,28,280,23,260
09-09,80,65,72,7.4,83,67,68,0,7,0612,1857,"RA,FG,BR",0.04,0.0,0,29.03,29.95,3.4,13,190,10,140
09-10,73,58,66,1.7,82,61,64,0,1,0613,1856,"RA,BR,HZ",0.22,0.0,0,28.90,29.83,10.7,39,270,32,260
09-11,72,53,62,-1.9,66,50,55,3,0,0615,1854,"",0.00,0.0,0,29.21,30.17,4.3,12,310,9,260
09-12,76,54,65,1.5,64,52,58,0,0,0616,1852,"",0.00,0.0,0,29.21,30.14,7.9,23,170,16,190
09-13,82,57,70,6.9,72,59,63,0,5,0617,1850,"TS",0.00,0.0,0,29.13,30.06,7.4,27,100,16,230
09-14,73,56,64,1.3,70,53,58,1,0,0618,1849,"RA",0.03,0.0,0,29.28,30.23,6.0,17,360,14,360
09-15,73,49,61,-1.3,67,49,54,4,0,0619,1847,"",0.00,0.0,0,29.33,30.26,3.8,23,060,14,070
09-16,79,53,66,4.1,67,56,61,0,1,0620,1845,"",0.00,0.0,0,29.15,30.06,9.4,21,180,16,150
09-17,78,64,71,9.5,83,64,66,0,6,0621,1843,"RA,BR",0.64,0.0,0,28.98,29.90,8.6,20,220,16,250
09-18,78,57,68,6.9,77,59,62,0,3,0622,1841,"BR",0.00,0.0,0,29.03,29.97,4.2,18,290,14,280
09-19,83,53,68,7.3,64,55,61,0,3,0623,1840,"BR",0.00,0.0,0,29.10,30.03,6.2,21,200,17,200
09-20,82,57,70,9.7,60,54,61,0,5,0624,1838,"RA",T,0.0,0,29.21,30.15,3.2,18,310,14,310
09-21,81,54,68,8.2,80,60,63,0,3,0625,1836,"TS,RA,FG,BR",0.05,0.0,0,29.23,30.17,4.1,36,290,28,290
09-22,83,61,72,12.6,74,62,66,0,7,0626,1834,"FG,BR",0.00,0.0,0,29.15,30.07,3.6,15,220,13,220
09-23,71,58,64,5.0,82,59,61,1,0,0628,1832,"FG,BR,HZ",0.00,0.0,0,29.16,30.11,7.5,22,010,18,010
09-24,69,51,60,1.4,71,49,54,5,0,0629,1831,"",0.00,0.0,0,29.29,30.24,6.7,18,060,14,060
09-25,75,49,62,3.9,62,49,55,3,0,0630,1829,"",0.00,0.0,0,29.21,30.11,8.7,24,150,18,150
09-26,68,51,60,2.3,65,49,55,5,0,0631,1827,"RA,BR",0.18,0.0,0,28.95,29.88,12.0,35,250,29,250
09-27,66,50,58,0.7,59,42,50,7,0,0632,1825,"RA",T,0.0,0,28.84,29.77,12.4,36,250,28,260
09-28,66,48,57,0.1,77,49,52,8,0,0633,1824,"RA",0.02,0.0,0,28.97,29.93,8.3,23,050,18,060
09-29,61,55,58,1.5,90,56,57,7,0,0634,1822,"RA,BR",1.22,0.0,0,29.21,30.17,12.4,27,050,20,050
09-30,61,58,60,3.9,90,56,57,5,0,0635,1820,"TS,RA,BR",0.45,0.0,0,29.23,30.16,10.3,22,040,17,020
10-01,68,50,59,3.3,85,54,56,6,0,0636,1818,"TS,RA,BR",0.24,0.0,0,29.11,30.04,7.0,24,190,18,190
10-02,69,50,60,4.8,82,52,55,5,0,0637,1817,"FG,BR,HZ",0.00,0.0,0,29.08,30.03,3.4,12,260,8,320
10-03,67,51,59,4.1,85,54,56,6,0,0639,1815,"FG,BR",T,0.0,0,29.16,30.11,3.7,13,140,9,160
10-04,74,49,62,7.5,75,53,57,3,0,0640,1813,"BR,HZ",0.00,0.0,0,29.21,30.15,8.2,22,150,17,120
10-05,80,60,70,15.9,77,59,62,0,5,0641,1811,"TS,RA,FG,BR",0.62,0.0,0,29.13,30.05,9.9,43,260,33,260
10-06,79,56,68,14.3,82,62,64,0,3,0642,1810,"RA,FG,BR",0.01,0.0,0,29.20,30.13,4.8,18,180,15,180
10-07,82,50,66,12.7,69,55,60,0,1,0643,1808,"RA",T,0.0,0,29.12,30.06,12.4,32,280,25,270
10-08,58,41,50,-2.9,66,37,43,15,0,0644,1806,"RA",0.00,0.0,0,29.25,30.22,9.2,29,270,24,270
10-09,61,37,49,-3.6,69,37,43,16,0,0645,1805,"",0.00,0.0,0,29.41,30.38,2.5,16,350,12,020
10-10,64,37,50,-2.2,68,41,46,15,0,0647,1803,"",0.00,0.0,0,29.44,30.39,6.2,16,150,13,150
10-11,71,51,61,9.1,62,47,53,4,0,0648,1801,"",0.00,0.0,0,29.30,30.22,9.4,21,170,15,170
10-12,73,50,62,10.5,74,52,55,3,0,0649,1800,"TS,RA,BR",0.44,0.0,0,29.05,29.99,11.2,44,240,30,240
10-13,57,38,48,-3.2,71,38,44,17,0,0650,1758,"",0.00,0.0,0,29.28,30.25,6.3,22,320,16,320
10-14,62,34,48,-2.8,69,38,44,17,0,0651,1756,"",0.00,0.0,0,29.36,30.30,5.5,18,160,14,150
10-15,70,46,58,7.5,75,51,55,7,0,0653,1755,"BR",0.00,0.0,0,29.13,30.06,12.0,26,210,21,210
10-16,68,62,65,14.8,88,61,62,0,0,0654,1753,"TS,RA,BR",1.01,0.0,0,29.02,29.93,8.1,30,210,24,210
10-17,77,63,70,20.2,76,62,65,0,5,0655,1751,"RA,BR",T,0.0,0,28.82,29.70,12.4,34,210,25,190
10-18,77,51,64,14.5,70,58,62,1,0,0656,1750,"",0.00,0.0,0,28.72,29.67,14.6,36,210,28,260
10-19,72,47,60,10.8,71,48,53,5,0,0657,1748,"BR",0.01,0.0,0,29.13,30.08,3.3,21,230,13,290
10-20,56,49,52,3.1,80,48,51,13,0,0659,1747,"RA",T,0.0,0,29.14,30.08,7.1,21,360,16,360
10-21,51,41,46,-2.6,65,35,41,19,0,0700,1745,"",T,0.0,0,29.13,30.08,8.8,23,020,16,010
10-22,55,35,45,-3.2,67,35,41,20,0,0701,1744,"",0.00,0.0,0,29.08,30.04,8.6,25,290,20,290
10-23,68,40,54,6.1,67,43,48,11,0,0702,1742,"BR",0.00,0.0,0,28.98,29.93,7.0,24,360,17,020
10-24,55,36,46,-1.6,65,36,42,19,0,0703,1741,"",0.00,0.0,0,29.29,30.28,8.6,23,320,17,300
10-25,54,31,42,-5.3,70,32,37,23,0,0705,1739,"",0.00,0.0,0,29.48,30.45,2.7,17,310,13,290
10-26,40,34,37,-10.0,86,34,36,28,0,0706,1738,"RA,BR",0.62,T,0,29.40,30.33,10.4,29,110,24,100
10-27,45,34,40,-6.7,87,38,40,25,0,0707,1737,"RA,BR",0.15,0.0,0,29.16,30.14,6.4,19,350,14,330
10-28,58,31,44,-2.3,75,40,44,21,0,0708,1735,"BR",0.00,0.0,0,29.24,30.17,9.5,28,210,22,200
10-29,70,54,62,16.0,76,55,58,3,0,0710,1734,"BR",0.00,0.0,0,28.97,29.91,12.7,33,220,23,220
10-30,54,37,46,0.3,79,40,44,19,0,0711,1732,"RA",0.10,0.0,0,29.17,30.14,6.3,18,350,14,360
10-31,54,30,42,-3.4,73,35,40,23,0,0712,1731,"BR",0.00,0.0,0,29.23,30.17,7.7,23,150,17,150
11-01,77,48,62,17.0,66,52,,3,0,0713,1730,"",T,0.0,0,29.00,,10.4,26,160,21,250
11-02,64,53,58,13.3,83,56,,7,0,0715,1729,"TS,RA,FG,BR",1.35,0.0,0,29.18,,4.6,18,320,16,320
11-03,58,45,52,7.6,80,47,,13,0,0716,1727,"RA,BR",0.20,0.0,0,29.21,,6.4,21,350,16,350
11-04,57,35,46,2.0,72,38,,19,0,0717,1726,"BR",0.00,0.0,0,29.42,,5.7,15,280,13,280
11-05,67,40,54,10.3,69,43,,11,0,0719,1725,"BR",0.00,0.0,0,29.35,,7.7,19,260,16,280
11-06,68,34,51,7.7,67,39,,14,0,0720,1724,"FG,BR,HZ",0.00,0.0,0,29.41,,2.9,12,180,9,170
11-07,67,39,53,10.1,68,41,,12,0,0721,1723,"FG,BR",0.00,0.0,0,29.39,,3.5,17,180,14,180
11-08,59,44,52,9.4,73,43,,13,0,0722,1721,"RA",T,0.0,0,29.19,,10.2,27,340,20,250
11-09,56,40,48,5.8,59,34,,17,0,0724,1720,"",0.00,0.0,0,29.26,,8.8,25,020,18,360
11-10,64,40,52,10.2,53,35,,13,0,0725,1719,"",0.00,0.0,0,29.06,,14.8,37,240,29,250
11-11,54,31,42,0.6,54,29,,23,0,0726,1718,"",0.00,0.0,0,29.21,,9.2,28,010,21,030
11-12,49,25,37,-4.1,63,26,,28,0,0727,1717,"",0.00,0.0,0,29.43,,7.1,21,260,17,260
11-13,57,35,46,5.3,55,28,,19,0,0729,1716,"",0.00,0.0,0,29.18,,13.2,27,220,21,230
11-14,58,39,48,7.7,59,33,,17,0,0730,1715,"",0.00,0.0,0,29.00,,8.3,20,220,15,210
11-15,60,36,48,8.1,72,40,,17,0,0731,1715,"BR,HZ",0.00,0.0,0,28.94,,5.1,23,290,17,280
11-16,57,35,46,6.5,75,40,,19,0,0732,1714,"FG,BR,HZ",0.00,0.0,0,28.97,,3.9,15,260,13,250
11-17,65,35,50,10.9,70,42,,15,0,0734,1713,"BR,HZ",0.00,0.0,0,29.00,,11.1,27,180,22,160
11-18,72,48,60,21.3,66,49,,5,0,0735,1712,"TS,RA,BR",0.30,0.0,0,28.90,,13.9,44,210,33,220
11-19,48,31,40,1.8,71,27,,25,0,0736,1711,"SN,UP,HZ",T,T,0,28.95,,19.2,39,310,29,310
11-20,32,28,30,-7.8,59,18,,35,0,0737,1711,"",0.00,T,0,29.21,,14.7,32,320,24,300
11-21,38,24,31,-6.4,59,17,,34,0,0739,1710,"",0.00,0.0,0,29.26,,9.8,26,320,20,320
11-22,40,20,30,-7.0,66,19,,35,0,0740,1709,"",0.00,0.0,0,29.36,,3.3,12,020,9,020
11-23,38,25,32,-4.6,78,30,,33,0,0741,1709,"RA,FZRA,BR,UP",0.50,T,0,29.22,,9.8,23,120,17,110
11-24,44,38,41,4.8,88,38,,24,0,0742,1708,"RA,BR",0.05,0.0,0,29.11,,8.6,21,260,16,270
11-25,41,37,39,3.3,83,35,,26,0,0743,1708,"RA,BR",0.04,0.0,0,29.27,,9.3,16,240,13,250
11-26,40,32,36,0.7,77,31,,29,0,0744,1707,"",0.00,0.0,0,29.29,,8.4,22,260,17,260
11-27,46,30,38,3.1,81,32,,27,0,0746,1707,"BR,HZ",0.00,0.0,0,29.15,,6.9,17,200,13,200
11-28,50,37,44,9.5,78,38,,21,0,0747,1706,"RA,BR",0.49,0.0,0,28.78,,16.1,40,160,30,160
11-29,58,47,52,17.9,67,42,,13,0,0748,1706,"TS,RA,HZ",0.23,0.0,0,28.58,,13.5,49,160,36,160
11-30,52,37,44,10.3,76,38,,21,0,0749,1705,"BR",T,0.0,0,28.66,,9.8,30,250,24,250
12-01,42,35,38,4.7,82,33,36,27,0,0750,1705,"RA,BR",0.01,T,0,28.77,29.76,12.8,27,210,20,250
12-02,39,35,37,4.1,72,28,33,28,0,0751,1705,"RA",T,0.0,0,29.10,30.11,11.2,26,290,21,310
12-03,37,35,36,3.5,73,28,32,29,0,0752,1705,"",T,T,0,29.33,30.31,6.2,15,260,13,270
12-04,37,32,34,1.9,77,27,32,31,0,0753,1705,"SN,FG,BR",0.36,2.5,0,29.17,30.10,5.9,18,140,15,140
12-05,39,27,33,1.3,83,29,32,32,0,0754,1704,"SN,BR",T,T,2,29.03,30.01,8.6,22,260,16,220
12-06,42,23,32,0.7,80,29,32,33,0,0755,1704,"BR",0.00,0.0,T,28.90,29.85,9.2,29,260,23,250
12-07,38,30,34,3.1,62,21,29,31,0,0756,1704,"",0.00,0.0,0,29.01,29.99,17.1,35,260,25,270
12-08,30,25,28,-2.6,75,19,24,37,0,0757,1704,"SN,BR",0.04,1.0,0,29.19,30.14,16.7,34,250,26,260
12-09,30,23,26,-4.2,75,19,24,39,0,0758,1704,"SN,BR",0.01,0.2,1,29.41,30.40,10.2,22,270,17,290
12-10,26,20,23,-6.9,78,17,21,42,0,0759,1704,"SN,BR",0.04,1.1,1,29.46,30.44,8.6,21,260,17,260
12-11,30,22,26,-3.5,86,22,24,39,0,0759,1704,"SN,FZFG,BR,FG",0.55,7.4,4,29.11,30.08,10.3,23,150,17,160
12-12,34,22,28,-1.2,76,23,27,37,0,0800,1705,"SN,BR",0.04,T,10,28.91,29.94,13.8,33,260,26,260
12-13,27,9,18,-10.9,75,12,17,47,0,0801,1705,"SN,BR,HZ",0.02,0.2,9,29.11,30.10,10.8,27,260,22,270
12-14,21,9,15,-13.5,72,8,13,50,0,0802,1705,"SN,BR,UP,HZ",0.05,1.4,8,29.05,30.06,16.7,39,290,30,280
12-15,17,3,10,-18.2,68,0,7,55,0,0803,1705,"SN,UP",T,T,7,29.24,30.29,11.3,32,270,28,260
12-16,18,7,12,-15.9,69,4,11,53,0,0803,1706,"SN",0.20,1.6,5,29.26,30.20,9.4,20,140,17,140
12-17,26,16,21,-6.7,81,16,20,44,0,0804,1706,"FZRA,SN,FZFG,BR,UP,HZ,FG",0.06,0.6,7,28.77,29.74,4.1,26,090,14,140
12-18,21,8,14,-13.4,71,8,14,51,0,0804,1706,"SN,BR",T,T,6,29.21,30.29,8.1,21,340,16,340
12-19,14,8,11,-16.1,57,-1,9,54,0,0805,1707,"SN",T,T,5,29.65,30.65,11.5,24,200,20,210
12-20,31,9,20,-6.8,49,5,17,45,0,0806,1707,"",0.00,0.0,5,29.25,30.21,17.3,42,210,33,240
12-21,33,20,26,-0.6,75,20,25,39,0,0806,1708,"BR,HZ",0.00,0.0,5,29.11,30.07,9.7,35,110,18,150
12-22,39,29,34,7.6,71,26,31,31,0,0807,1708,"",0.00,0.0,5,29.15,30.17,11.0,22,260,18,260
12-23,36,27,32,5.9,75,25,29,33,0,0807,1709,"RA,FZRA,BR,UP,HZ",0.08,T,4,29.28,30.23,9.6,24,150,15,220
12-24,38,34,36,10.1,83,31,33,29,0,0807,1710,"RA,SN,BR,UP",0.07,T,4,29.18,30.19,7.3,17,190,15,190
12-25,36,33,34,8.3,80,29,32,31,0,0808,1710,"RA,BR",0.05,0.0,3,29.48,30.45,12.0,29,140,22,110
12-26,55,34,44,18.5,79,38,42,21,0,0808,1711,"RA,BR,UP",0.18,0.0,T,29.03,29.95,19.8,48,250,35,250
12-27,34,27,30,4.7,71,20,26,35,0,0808,1712,"",0.00,T,0,29.05,30.04,16.5,44,270,33,270
12-28,39,26,32,6.9,66,22,29,33,0,0809,1712,"",0.00,0.0,0,29.07,30.00,10.3,29,150,24,160
12-29,38,29,34,9.1,71,25,31,31,0,0809,1713,"SN",T,0.1,0,28.75,29.72,16.7,37,260,29,270
12-30,30,26,28,3.2,64,17,25,37,0,0809,1714,"SN",T,T,0,28.95,29.92,14.0,30,290,23,260
12-31,43,28,36,11.4,56,21,30,29,0,0809,1715,"",0.00,0.0,0,28.70,29.66,16.4,35,240,26,250